SNF2.1	SNF2.10	SNF2.11	SNF2.12	SNF2.13	SNF2.14	SNF2.15	SNF2.16	SNF2.17	SNF2.18	SNF2.19	SNF2.2	SNF2.20	SNF2.21	SNF2.22	SNF2.23	SNF2.24	SNF2.25	SNF2.26	SNF2.27	SNF2.28	SNF2.29	SNF2.3	SNF2.30	SNF2.31	SNF2.32	SNF2.33	SNF2.34	SNF2.35	SNF2.36	SNF2.37	SNF2.38	SNF2.39	SNF2.4	SNF2.40	SNF2.41	SNF2.42	SNF2.43	SNF2.44	SNF2.45	SNF2.46	SNF2.47	SNF2.48	SNF2.5	SNF2.6	SNF2.7	SNF2.8	SNF2.9	WT.1	WT.10	WT.11	WT.12	WT.13	WT.14	WT.15	WT.16	WT.17	WT.18	WT.19	WT.2	WT.20	WT.21	WT.22	WT.23	WT.24	WT.25	WT.26	WT.27	WT.28	WT.29	WT.3	WT.30	WT.31	WT.32	WT.33	WT.34	WT.35	WT.36	WT.37	WT.38	WT.39	WT.4	WT.40	WT.41	WT.42	WT.43	WT.44	WT.45	WT.46	WT.47	WT.48	WT.5	WT.6	WT.7	WT.8	WT.9
Q0105	0	4	0	0	1	2	1	1	1	0	1	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	3	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q0130	1	5	0	4	1	10	0	1	9	0	2	0	2	3	1	1	2	0	2	0	3	2	0	3	1	2	4	2	9	1	1	4	0	2	3	0	1	6	3	4	1	3	2	4	0	0	1	0	1	0	0	0	1	2	1	1	4	3	0	0	6	0	0	1	1	2	7	1	0	1	0	1	2	0	1	2	0	1	2	0	0	0	3	0	2	0	1	0	2	2	1	1	1	2	1	3
Q0250	1	1	1	0	0	5	0	0	4	2	1	0	0	0	2	2	6	0	1	0	1	0	0	0	2	0	4	0	3	0	0	0	1	2	0	0	0	6	0	2	0	1	0	2	0	1	0	0	0	0	1	0	2	1	0	4	2	2	0	1	1	0	0	2	0	0	2	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	2	0	0	2	1	0	0	1	0	0	1
Q0255	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0275	0	0	1	0	0	9	0	0	4	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	1	0	0	0	3	2	0	0	0	1	0	0	0	5	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3	2	0	0	4	0	1	1	0	0	2	1	0	0	2	0	0	2	1	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0
RDN5-1	17	59	81	21	48	348	13	10	86	47	18	13	45	32	25	25	132	63	37	26	38	17	21	90	29	20	27	42	11	19	15	25	40	33	42	34	16	156	18	27	17	23	24	60	27	31	10	12	22	18	38	19	14	22	28	106	5	128	20	17	112	14	13	37	8	75	115	42	10	11	47	21	11	8	15	26	20	64	16	23	7	15	60	23	15	5	38	17	12	95	7	7	30	18	13	14
RDN5-2	25	65	96	27	44	363	27	26	121	42	26	26	35	33	24	19	144	74	48	27	33	21	22	74	36	36	48	31	26	33	22	14	53	56	47	55	19	159	31	42	25	34	36	91	43	30	20	29	19	22	24	14	8	20	38	93	10	91	31	15	106	15	12	24	8	79	127	39	16	15	44	16	20	9	17	21	10	60	28	15	12	17	93	21	20	12	53	15	6	77	6	10	24	14	21	20
RDN5-3	28	59	98	39	25	363	25	19	101	53	22	33	34	24	17	18	138	88	51	34	42	24	19	67	31	19	25	32	22	33	25	20	53	45	48	27	13	130	32	27	17	32	8	67	26	51	33	17	14	7	20	12	5	15	37	88	3	91	24	11	130	5	10	28	6	9	127	34	14	8	46	11	10	11	15	19	15	64	13	20	11	7	55	14	4	22	34	14	5	92	9	14	13	14	14	15
RDN5-4	27	61	107	45	30	337	27	22	86	65	39	20	49	30	20	18	126	85	51	16	42	43	21	79	24	29	32	44	22	30	25	21	55	34	58	38	24	138	31	23	16	31	31	64	30	37	24	20	12	12	23	15	9	19	33	104	6	99	22	12	114	8	14	35	4	8	136	44	14	10	35	13	8	7	20	26	13	62	24	12	5	12	71	18	13	9	32	10	7	81	10	18	13	17	20	18
RDN5-5	30	46	99	36	23	334	28	29	94	58	25	29	56	30	27	22	121	74	43	26	31	15	27	88	45	30	26	33	22	30	19	24	49	44	44	34	9	129	29	32	19	26	16	69	42	39	18	21	16	14	18	10	10	17	26	104	5	95	18	12	101	3	10	37	8	8	98	33	9	14	46	7	7	9	19	15	8	71	18	20	8	13	76	19	15	15	41	15	5	84	9	14	15	14	12	13
RDN5-6	15	53	101	18	9	334	20	9	71	45	8	23	33	14	11	9	137	61	22	19	34	17	13	61	20	13	20	31	16	10	11	16	24	20	40	25	7	105	6	24	7	22	12	77	14	24	8	9	14	6	13	6	5	10	29	103	0	97	14	12	115	2	4	39	5	7	100	37	8	8	44	9	9	8	19	15	15	46	11	15	7	10	62	8	6	10	26	4	3	77	9	15	12	16	14	8
RNA170	19	8	11	11	7	15	7	13	13	9	6	8	14	8	4	5	12	15	11	8	6	10	10	14	12	14	17	14	12	3	12	5	23	9	15	15	9	17	11	9	10	17	10	12	5	19	9	11	5	13	5	4	8	8	6	2	6	6	11	4	3	7	6	0	4	8	7	5	12	3	7	17	4	4	2	2	2	5	9	5	2	4	11	8	8	9	3	8	3	6	5	4	13	12	8	8
RPR1	24	26	14	15	6	61	10	17	42	17	16	8	14	12	10	8	37	17	23	9	19	15	12	24	8	11	15	18	36	15	12	7	23	16	20	24	6	44	11	7	8	17	11	27	8	18	14	9	15	24	9	15	15	22	23	75	40	49	24	20	68	4	41	48	17	23	52	35	12	32	26	34	85	14	94	36	16	44	23	21	21	45	32	28	15	22	29	24	14	57	27	37	27	43	29	68
RUF20	219	173	113	134	119	155	45	154	130	133	95	97	68	218	88	179	263	48	134	75	95	189	129	120	36	167	218	127	129	63	155	87	208	169	112	103	76	163	188	134	165	227	163	106	101	248	87	129	30	111	28	62	134	177	71	44	113	97	86	119	75	112	172	96	106	96	74	108	93	75	121	158	96	62	85	185	101	94	38	29	40	109	146	117	92	124	24	93	104	129	73	116	214	67	45	78
RUF21	86	24	21	38	200	49	4	49	56	51	24	12	12	70	52	141	65	4	30	27	16	91	31	35	3	102	112	55	121	7	73	14	43	67	42	19	19	41	68	52	86	79	72	14	54	171	12	63	4	44	0	15	57	46	8	3	82	39	4	42	9	156	196	46	33	106	15	40	90	26	44	107	38	27	20	26	70	20	4	2	7	36	45	45	31	52	0	9	39	25	10	48	104	21	4	7
RUF22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RUF23	3	6	2	1	4	3	1	6	5	3	3	2	2	7	3	2	5	5	4	3	3	5	1	4	2	1	8	7	4	2	4	5	8	4	3	3	3	5	4	7	3	5	4	1	9	5	1	2	0	1	4	1	1	3	5	3	1	1	0	5	2	6	9	4	3	11	2	4	4	2	2	5	5	1	1	2	2	4	0	2	2	1	2	0	4	1	1	1	0	1	4	1	3	0	0	2
RUF5-1	1206	693	931	850	729	1029	748	1169	1039	947	804	758	938	848	797	843	1245	820	1136	623	777	878	753	857	779	1176	1491	1123	872	686	1025	885	1520	1233	962	1066	660	1010	1219	920	904	1297	1007	752	604	1370	892	999	538	870	620	962	1066	1476	906	601	1184	807	1144	1182	802	548	1532	849	1150	1325	829	1151	1414	981	771	2302	924	966	1308	1285	783	1363	707	814	830	1451	1327	1203	691	1844	602	1032	557	1346	1042	1183	1724	961	711	1102
RUF5-2	1182	690	972	870	790	1059	724	1184	1045	966	794	750	887	800	744	785	1235	831	1107	686	772	911	763	873	798	1117	1473	1170	795	689	953	850	1610	1154	963	1089	668	1029	1293	941	965	1275	938	756	615	1440	914	906	566	847	605	987	1054	1498	932	643	1117	761	1109	1132	761	555	1505	811	1132	1321	827	1186	1409	983	772	2344	1010	959	1306	1317	807	1305	750	831	795	1431	1250	1177	705	1820	636	1112	575	1330	1072	1184	1778	977	681	1109
SCR1	63	478	188	99	38	1833	89	63	840	203	120	63	98	151	100	83	1129	276	113	100	470	70	72	326	102	63	160	96	1016	49	78	49	175	121	156	156	31	1520	85	314	40	75	54	585	109	99	85	55	79	100	63	51	108	55	86	863	193	690	187	86	1145	23	259	290	52	109	706	178	75	91	234	108	197	96	268	295	202	252	148	116	45	105	653	136	118	64	231	60	59	353	145	191	143	114	89	214
SRG1	129	58	64	92	115	85	31	97	79	85	42	75	69	70	59	65	98	25	89	53	52	99	67	55	30	103	105	57	97	33	64	46	125	103	81	68	31	78	109	66	81	109	91	54	53	120	43	77	49	149	65	120	170	224	106	62	199	133	98	156	78	175	332	168	156	184	162	135	181	138	159	196	139	100	143	118	119	138	69	55	91	204	211	173	151	148	47	111	133	186	148	150	318	120	100	125
ST15S_rRNA	1	21	5	1	2	116	3	4	22	13	8	2	2	7	2	5	56	10	4	5	8	3	4	18	3	2	9	4	98	2	5	0	2	4	8	1	1	39	5	21	2	4	1	22	3	3	1	1	1	1	13	3	9	7	2	15	15	28	11	9	23	0	13	9	3	6	42	7	7	1	15	6	3	2	8	4	10	9	0	5	0	5	25	4	3	6	6	1	13	9	1	10	5	1	2	4
ST21S_rRNA	18	63	30	12	9	411	28	21	217	39	28	16	12	40	29	27	225	68	39	23	111	34	18	86	21	18	46	23	308	14	18	9	32	23	44	38	10	294	25	119	9	26	10	186	38	19	12	7	11	61	104	7	20	53	9	124	74	152	38	39	136	15	95	53	21	41	198	28	32	13	50	31	17	42	58	47	52	108	15	38	8	47	150	30	18	31	31	10	85	52	32	62	40	24	19	21
TLC1	1133	931	921	705	857	1005	662	906	1067	837	688	790	735	1107	805	990	1558	582	1033	621	814	1033	949	661	547	1175	1432	788	911	761	867	700	1441	1066	736	821	628	1046	1007	840	1020	1104	1035	738	426	1528	753	957	331	687	360	504	749	881	499	377	683	587	578	743	396	493	1260	655	685	685	598	745	697	649	592	1013	657	436	632	787	694	730	467	386	431	835	869	753	561	616	348	768	486	875	636	703	1406	598	532	533
YAL001C	420	387	351	289	372	485	229	347	367	386	330	338	306	426	268	367	625	241	425	289	332	383	414	285	229	403	593	378	323	291	386	328	648	535	339	351	285	357	398	295	483	387	356	260	450	636	258	404	166	249	129	195	282	306	208	114	230	249	203	223	150	253	316	253	211	282	235	300	296	225	198	447	247	172	222	172	220	161	171	135	182	292	363	265	233	211	151	289	134	323	210	210	456	262	229	177
YAL002W	353	268	276	199	369	383	182	315	303	269	198	260	260	325	185	254	437	130	298	196	207	282	314	229	143	304	359	275	228	184	287	223	446	391	280	207	188	272	299	227	269	297	226	205	323	454	183	293	124	259	140	216	278	316	202	97	272	210	206	230	152	335	416	248	270	316	274	264	345	232	212	361	227	154	242	145	243	137	164	144	176	296	389	269	212	192	148	262	181	303	227	229	462	258	201	163
YAL003W	3784	3879	4215	2908	1793	3584	3722	4154	4429	3083	2857	3170	3535	3968	2862	2797	5970	3552	3519	2736	3123	2962	3316	3050	3166	3746	4882	4093	2548	3623	3133	3649	5760	3795	3222	3741	2639	3845	3433	3677	3649	3547	3120	2790	1577	4057	3449	4450	3225	4304	3818	5173	5295	5194	4156	4089	4133	4166	5752	5224	3626	2437	6413	4284	6188	4572	4453	6094	4417	5856	3819	5668	5050	3988	6595	6946	3826	6440	6991	4850	4734	6618	6140	7098	4435	3820	4280	7334	3546	7553	5031	5709	8630	5341	5110	5605
YAL005C	6099	7589	7444	4513	2312	6141	6783	5652	7232	5183	4424	6574	5573	7589	5122	5302	12512	5206	6078	5327	5981	5449	7520	4439	4797	6655	7577	5610	4107	7098	4919	6436	9640	6711	5351	6172	5389	6850	5203	5812	6958	4672	5215	5293	2027	7316	5318	7708	6962	7031	7931	7885	8391	10482	8696	5348	7801	8874	10528	6743	7480	3751	7519	6907	6747	4752	10791	8530	4968	7030	6927	14996	7804	8216	8516	11470	5988	7504	14297	8555	7177	12504	13847	8854	8019	9260	9970	10166	6532	10749	9582	6543	12238	8563	11528	8471
YAL007C	784	712	757	666	521	734	551	776	878	644	575	631	618	831	586	733	1272	498	749	569	648	666	694	542	484	848	962	650	710	622	702	590	1183	802	557	625	525	781	672	680	815	757	661	556	294	1016	520	846	296	448	333	424	529	596	424	278	524	508	501	442	323	289	781	438	525	431	458	568	608	399	425	760	462	340	509	729	369	487	452	312	362	599	749	538	464	377	352	580	356	679	454	426	872	474	447	378
YAL008W	338	240	268	251	177	292	251	289	344	249	220	258	260	292	231	279	436	245	334	167	248	268	269	213	193	370	374	282	199	220	247	224	432	343	259	328	191	313	297	265	276	277	251	254	126	433	213	297	132	189	186	157	180	296	188	107	193	174	235	184	165	113	201	137	143	122	238	189	139	158	177	345	185	176	185	213	129	169	165	168	148	300	275	167	161	256	126	166	142	234	220	136	265	157	192	189
YAL009W	285	211	223	193	208	269	168	248	275	240	190	223	195	268	209	215	356	143	284	167	205	213	211	207	169	284	337	227	192	210	240	193	408	308	211	254	170	225	256	200	258	258	240	198	141	366	168	240	100	209	89	132	201	215	144	78	163	156	167	162	103	115	254	150	158	183	150	197	166	166	134	249	173	94	181	198	124	178	114	101	116	187	222	157	160	147	94	200	110	225	164	117	323	151	164	137
YAL010C	254	165	203	191	305	235	141	223	226	206	138	204	201	192	150	212	314	133	231	150	179	238	191	186	113	250	291	218	181	156	229	157	369	300	210	209	161	221	266	201	241	221	181	150	402	362	174	236	104	164	124	135	209	221	119	85	174	177	141	176	103	272	297	153	152	279	153	217	312	137	157	241	188	114	168	109	122	122	118	92	114	226	216	176	162	155	107	168	116	222	139	132	295	139	152	165
YAL011W	341	313	269	222	291	346	187	313	323	286	209	283	295	356	209	284	471	203	313	229	264	263	299	226	209	316	463	275	231	284	322	248	490	365	296	312	219	318	338	239	306	284	238	225	298	494	220	295	111	223	121	172	225	207	166	103	164	172	155	198	119	163	307	170	197	224	171	256	242	211	152	248	211	134	220	159	170	175	159	108	163	224	251	236	144	143	123	284	121	280	171	208	405	206	190	148
YAL012W	3754	3872	4254	2820	3209	3896	3939	3476	4472	3341	3095	3610	3766	4231	2743	3003	6439	4192	3805	3371	3344	2744	3954	3139	4115	3978	5373	4267	3298	4922	3700	3943	7162	4315	3583	4198	3589	4326	3309	3573	4310	3541	3327	3069	3713	4717	3322	4305	2208	2143	1941	2282	2669	2687	2273	1803	2218	2251	2743	1923	2155	2306	3573	2272	2154	3226	2593	2914	2955	2494	1572	3957	2670	1914	2629	2574	1934	2333	4282	2277	2271	2857	3510	2947	2145	1936	3009	3876	1458	3721	2219	2156	4287	2735	3006	2559
YAL013W	971	711	885	737	1142	948	925	930	978	868	839	913	1055	916	710	628	1117	1133	1044	659	916	707	788	744	942	964	1215	831	772	881	801	801	1637	1102	851	1327	652	993	906	703	827	977	705	645	2315	1393	894	801	431	519	507	560	601	522	470	456	489	502	651	534	404	813	800	521	493	930	604	683	673	587	381	648	609	363	661	361	421	460	816	540	516	618	781	672	498	398	605	853	364	859	518	577	1083	535	763	711
YAL014C	802	571	785	642	751	749	822	834	858	698	656	710	814	806	598	542	917	1061	885	576	779	666	687	566	853	843	978	689	572	746	641	700	1339	861	661	1033	623	853	740	672	684	767	687	565	1199	1097	811	715	411	451	519	424	467	606	417	336	498	386	612	456	377	606	644	422	422	647	497	481	577	462	378	668	485	347	494	410	368	410	714	476	423	597	662	489	392	331	539	624	365	648	507	502	877	492	631	632
YAL015C	465	322	351	327	414	421	282	404	353	414	289	347	387	389	237	299	522	342	462	254	308	333	341	283	325	368	462	348	302	321	328	288	572	434	346	430	257	313	414	274	325	400	289	251	588	549	310	361	163	185	135	200	199	242	177	116	229	206	223	179	154	229	296	152	169	226	213	222	219	142	169	283	223	147	209	170	123	164	233	172	153	260	289	190	170	176	169	273	168	264	196	166	299	186	232	195
YAL016W	1354	847	1107	947	612	1218	906	1103	1139	1067	863	1065	1021	1062	806	941	1515	898	1215	772	898	936	1026	826	791	1126	1469	972	711	961	1029	903	1694	1341	1007	1131	816	1033	1103	944	1102	1073	863	864	487	1550	877	1115	614	858	682	782	1015	1069	798	498	808	901	897	875	634	445	1046	903	813	607	944	990	639	831	733	1229	953	584	976	752	782	717	758	634	679	1084	1291	1001	788	692	732	1119	587	1212	822	769	1575	841	977	845
YAL017W	912	770	742	685	751	1059	500	730	790	863	632	770	778	821	510	756	1279	567	896	569	577	700	845	640	545	778	1141	791	509	593	781	607	1496	1143	790	764	653	673	844	570	827	723	600	560	781	1486	612	811	469	615	428	492	731	738	563	279	575	637	526	507	403	694	748	606	484	547	730	603	635	447	498	1081	594	380	492	448	539	362	549	405	456	715	1075	643	594	520	470	633	373	762	541	446	1178	527	704	482
YAL018C	0	1	0	1	6	3	2	1	1	2	1	0	2	0	0	0	6	1	3	1	1	1	0	0	2	2	2	1	2	0	1	0	0	3	1	2	1	3	5	2	0	1	0	1	7	3	2	0	0	2	1	0	1	0	1	0	1	0	2	0	1	3	2	1	1	3	0	0	4	2	1	2	2	1	1	2	0	1	0	2	0	2	2	3	2	1	0	1	2	1	2	3	2	0	1	1
YAL019W	313	353	351	242	336	342	241	364	300	301	237	270	303	423	245	272	524	218	283	274	249	229	322	276	217	343	513	406	277	249	397	329	558	376	283	274	256	279	266	280	438	293	319	193	381	409	240	425	203	473	219	411	463	259	273	298	266	362	322	406	170	413	700	434	455	637	346	552	683	433	210	443	536	168	445	206	361	224	347	175	374	333	377	598	292	178	263	660	170	619	243	431	938	446	363	339
YAL020C	608	487	677	518	302	531	757	444	703	514	440	578	627	573	528	367	851	855	642	459	597	466	556	396	760	650	658	444	339	709	435	545	1006	616	488	887	447	717	482	515	479	497	450	467	486	700	731	494	352	409	487	391	390	391	363	317	272	352	607	342	304	238	350	338	301	335	426	439	266	473	298	494	468	303	500	470	259	427	751	449	329	505	565	415	325	243	555	621	288	567	363	440	563	427	609	550
YAL021C	764	470	690	479	1128	667	717	784	709	619	658	707	689	593	563	512	776	599	760	492	642	598	590	526	657	780	927	589	691	641	587	616	1170	778	599	828	497	727	671	539	613	646	546	564	2343	1005	624	697	451	578	537	607	591	734	534	467	615	555	734	608	478	1381	1147	553	608	1229	641	700	1104	646	491	812	623	449	683	316	499	325	788	536	537	735	780	684	539	480	659	916	381	870	551	597	1052	579	720	680
YAL022C	791	484	804	486	513	670	752	722	783	666	610	724	862	638	522	463	851	888	793	500	615	526	654	528	745	742	807	653	551	878	574	773	1245	815	634	967	601	766	636	578	544	606	524	503	519	913	736	700	412	454	495	478	534	489	437	332	434	429	545	438	378	364	591	474	430	580	563	575	476	468	323	571	498	377	559	329	365	387	791	472	463	534	706	529	428	328	616	732	298	686	450	475	797	488	728	546
YAL023C	2400	1768	2356	1490	2087	2249	1931	2160	2384	2037	1754	2113	2121	2268	1631	1742	3244	1922	2255	1676	1872	1722	2159	1564	1924	2322	2830	2149	1716	2391	1961	1981	3866	2583	1931	2309	1804	2184	1903	1840	2176	2117	1711	1642	2196	2827	1933	2347	1285	1798	1218	1757	1970	1886	1394	1180	1646	1682	1804	1606	1209	1936	2547	1677	1709	2439	1728	2091	2319	1729	1156	2171	2039	1108	1939	1222	1464	1342	2284	1300	1460	2010	2366	2135	1540	1118	1651	2680	1133	2655	1636	1686	3240	1912	2018	1825
YAL024C	205	133	148	138	225	211	109	221	195	188	143	176	177	211	116	158	215	122	170	129	138	167	171	155	107	160	251	207	144	115	185	133	328	236	188	158	126	152	177	126	192	202	141	150	285	307	146	184	63	142	73	120	135	136	99	53	121	111	121	139	83	171	236	136	165	208	131	176	185	139	91	156	145	61	130	62	123	70	84	64	96	117	157	167	113	81	71	208	84	154	83	106	269	114	119	104
YAL025C	242	313	260	236	441	317	200	389	253	313	186	184	315	342	191	262	426	273	273	281	259	170	223	331	307	244	580	365	229	263	386	261	515	291	264	343	184	258	329	279	317	356	253	168	1017	394	254	328	233	675	305	676	757	298	310	493	340	477	405	629	233	658	1263	681	726	1366	483	894	1165	684	298	435	732	168	877	541	528	737	583	281	555	368	465	841	430	201	290	1064	234	988	308	761	1396	564	538	601
YAL026C	813	699	738	591	685	864	440	758	659	723	554	655	707	825	518	629	1110	463	791	509	532	615	705	653	507	752	1097	789	571	588	731	626	1320	962	644	728	486	633	725	614	797	783	538	468	753	1076	525	782	299	597	316	545	660	623	489	296	479	540	454	533	325	495	892	571	528	633	588	611	708	468	406	737	579	331	507	356	520	353	490	334	384	589	741	692	490	395	367	701	324	826	457	480	1084	565	556	519
YAL027W	199	100	147	146	180	187	125	220	191	171	125	155	169	165	130	130	231	140	216	119	125	189	144	154	115	210	237	166	174	139	177	137	300	231	162	241	129	191	234	140	156	187	137	120	178	248	147	190	79	119	95	121	141	151	111	85	154	134	142	141	97	169	229	133	162	192	154	169	207	129	133	157	154	95	153	137	101	121	120	86	100	176	199	170	140	119	89	169	98	186	133	158	262	135	136	143
YAL028W	417	233	308	282	427	363	235	339	321	351	238	334	308	309	193	252	396	246	357	171	255	290	276	248	252	281	390	252	260	258	284	267	560	413	306	356	226	283	341	227	252	295	195	194	552	547	265	313	176	194	141	199	236	258	187	74	242	230	214	199	149	347	277	185	130	277	231	221	259	188	159	294	163	162	154	141	190	146	284	155	176	258	372	214	213	173	208	261	128	231	196	158	324	199	281	170
YAL029C	835	778	844	607	807	966	525	787	800	769	571	708	718	858	547	749	1244	505	787	684	614	710	740	618	484	790	1073	764	626	639	743	677	1237	952	638	710	593	772	751	684	865	752	656	532	739	1096	595	941	342	737	346	614	800	681	489	351	571	652	528	655	366	668	1105	677	657	789	656	822	827	592	465	879	688	380	626	484	602	505	553	383	521	654	858	832	607	435	383	841	401	877	486	638	1369	681	587	499
